ref,smiles1,A,smiles2,B,temperature,molar_ratio,viscosity
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.0,1.719
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.0521,1.628
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.0996,1.541
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.1504,1.435
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.201,1.331
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.2498,1.233
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.3057,1.113
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.3499,1.044
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.4031,0.956
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.451,0.884
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.5056,0.813
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.5541,0.76
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.5994,0.723
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.6511,0.68
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.7033,0.654
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.7506,0.629
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.8,0.608
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.8507,0.596
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.9001,0.579
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,0.9484,0.562
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,303.15,1.0,0.534
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.0,1.363
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.0521,1.302
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.0996,1.243
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.1504,1.163
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.201,1.077
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.2498,1.013
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.3057,0.919
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.3499,0.872
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.4031,0.811
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.451,0.752
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.5056,0.703
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.5541,0.662
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.5994,0.635
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.6511,0.605
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.7033,0.592
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.7506,0.57
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.8,0.558
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.8507,0.547
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.9001,0.531
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,0.9484,0.517
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCCO,Butan-1-ol,313.15,1.0,0.491
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.0,1.719
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.0521,1.628
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.0996,1.541
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.1504,1.435
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.201,1.331
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.2498,1.233
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.3057,1.113
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.3499,1.044
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.4031,0.956
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.451,0.884
jced-51-1-1,C(Cl)(Cl)Cl,Chloroform,CCCO,Propan-1-ol,303.15,0.5056,0.813
